Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-3q16,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
3,1685031346576,25/05/2023 16:15:46,1685034946576,1,25/05/2023 18:15:46,128616,14,task-58je,,29726021,BLIND,8844201,,complete,,646f9365c24c868cf09ad0e0,computer,Desktop or Laptop,Windows 10,Firefox 111.0,1920x1080,1920x927,,End Screen,2,Dual-Plural,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1685031432826,25/05/2023 16:17:12,1685035032826,1,25/05/2023 18:17:12,128616,14,task-58je,,29726029,BLIND,8844170,,complete,,646f942dc8a19e0fde88a1f9,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1366x768,1366x625,,End Screen,2,Dual-Plural,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1685031435425,25/05/2023 16:17:15,1685035035425,1,25/05/2023 18:17:15,128616,14,task-58je,,29726029,BLIND,8844170,,complete,,646f942dc8a19e0fde88a1f9,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1366x768,1366x625,,End Screen,2,Dual-Plural,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,2625.6640000059606,2613.754,2625.6640000059606,2625.6640000059606,2613.754,2625.6640000059606,1,2625.6640000059606,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685031435429,25/05/2023 16:17:15,1685035035429,1,25/05/2023 18:17:15,128616,14,task-58je,,29726029,BLIND,8844170,,complete,,646f942dc8a19e0fde88a1f9,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1366x768,1366x625,,End Screen,2,Dual-Plural,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1685032057608,25/05/2023 16:27:37,1685035657608,1,25/05/2023 18:27:37,128616,14,task-58je,,29726166,BLIND,8844207,,complete,,646f95b538d7f9544388a228,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1280x720,1280x569,,End Screen,2,Singular-Plural,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1685032060244,25/05/2023 16:27:40,1685035660244,1,25/05/2023 18:27:40,128616,14,task-58je,,29726166,BLIND,8844207,,complete,,646f95b538d7f9544388a228,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1280x720,1280x569,,End Screen,2,Singular-Plural,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,2641.451,2631.236,2641.451,2641.451,2631.236,2641.451,1,2641.451,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685032060245,25/05/2023 16:27:40,1685035660245,1,25/05/2023 18:27:40,128616,14,task-58je,,29726166,BLIND,8844207,,complete,,646f95b538d7f9544388a228,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1280x720,1280x569,,End Screen,2,Singular-Plural,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1685037085306,25/05/2023 17:51:25,1685040685306,1,25/05/2023 19:51:25,128616,14,task-58je,,29727162,BLIND,8844577,,complete,,646fa93c33dfd6eb405f35f9,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,End Screen,2,Singular-Dual,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1685037089232,25/05/2023 17:51:29,1685040689232,1,25/05/2023 19:51:29,128616,14,task-58je,,29727162,BLIND,8844577,,complete,,646fa93c33dfd6eb405f35f9,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,End Screen,2,Singular-Dual,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,3942.82699999702,3934.6949999999997,3942.82699999702,3942.82699999702,3934.6949999999997,3942.82699999702,1,3942.82699999702,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685037089234,25/05/2023 17:51:29,1685040689234,1,25/05/2023 19:51:29,128616,14,task-58je,,29727162,BLIND,8844577,,complete,,646fa93c33dfd6eb405f35f9,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,End Screen,2,Singular-Dual,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1685035580675,25/05/2023 17:26:20,1685039180675,1,25/05/2023 19:26:20,128616,14,task-58je,,29726967,BLIND,8844521,,complete,,646fa5b30a7995cad5fec730,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,End Screen,2,Dual-Plural,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1685035583231,25/05/2023 17:26:23,1685039183231,1,25/05/2023 19:26:23,128616,14,task-58je,,29726967,BLIND,8844521,,complete,,646fa5b30a7995cad5fec730,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,End Screen,2,Dual-Plural,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,2560.3079999996276,2558.707,2560.3079999996276,2560.3079999996276,2558.707,2560.3079999996276,1,2560.3079999996276,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685035583232,25/05/2023 17:26:23,1685039183232,1,25/05/2023 19:26:23,128616,14,task-58je,,29726967,BLIND,8844521,,complete,,646fa5b30a7995cad5fec730,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,End Screen,2,Dual-Plural,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1685032246210,25/05/2023 16:30:46,1685035846210,1,25/05/2023 18:30:46,128616,14,task-58je,,29726215,BLIND,8844188,,complete,,646f945b3034fa0457dd04bc,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x657,,End Screen,2,Singular-Dual,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
